profile_time,exec_time,algorithm,program,strategy,run,total_time,RC
35644,3778273,gp,csv,GI+STARTS,15,3813917,0.9195528088923223
37181,4090436,gp,csv,GI+STARTS,16,4127617,0.9951873117274709
38127,3616397,gp,csv,GI+STARTS,17,3654524,0.8811224285595111
38705,3690202,gp,csv,GI+STARTS,18,3728907,0.8990565096063293
38990,4066392,gp,csv,GI+STARTS,19,4105382,0.9898263516683713
38022,3790161,gp,csv,GI+STARTS,20,3828183,0.9229924066527501
23280,3304935,gp,csv,GI+Random,1,3328215,0.802447838232337
23784,4875644,gp,csv,GI+Random,2,4899428,1.1812744690997976
22767,3683926,gp,csv,GI+Random,3,3706693,0.8937006127431479
22836,3360406,gp,csv,GI+Random,4,3383242,0.8157150992699836
23209,4471421,gp,csv,GI+Random,5,4494630,1.0836758223715142
23984,3261256,gp,csv,GI+Random,6,3285240,0.7920863694426
22880,3768793,gp,csv,GI+Random,7,3791673,0.9141896788921149
23459,2941670,gp,csv,GI+Random,8,2965129,0.7149061452249964
23025,2450924,gp,csv,GI+Random,9,2473949,0.5964804037440646
23358,3120092,gp,csv,GI+Random,10,3143450,0.7579001528120749
23699,3746923,gp,csv,GI+Random,11,3770622,0.9091141866409745
23344,5886890,gp,csv,GI+Random,12,5910234,1.424984412589709
24525,2571354,gp,csv,GI+Random,13,2595879,0.6258782836633814
23744,3049287,gp,csv,GI+Random,14,3073031,0.7409218102709582
24527,3382424,gp,csv,GI+Random,15,3406951,0.821431447461627
22962,3120754,gp,csv,GI+Random,16,3143716,0.7579642866270387
22950,3993154,gp,csv,GI+Random,17,4016104,0.9683010180881468
23638,4837023,gp,csv,GI+Random,18,4860661,1.17192756833024
22942,5992374,gp,csv,GI+Random,19,6015316,1.4503201627552273
23727,3283903,gp,csv,GI+Random,20,3307630,0.7974847007096671
27216,1841431,gp,fileupload,GI,1,1868647,1.0338447562301742
20267,1804764,gp,fileupload,GI,2,1825031,1.0097138353619015
20201,1524119,gp,fileupload,GI,3,1544320,0.8544081005890266
20252,1724419,gp,fileupload,GI,4,1744671,0.9652539857430829
20308,1650454,gp,fileupload,GI,5,1670762,0.9243632064315189
19752,1744618,gp,fileupload,GI,6,1764370,0.976152624091031
20244,1596460,gp,fileupload,GI,7,1616704,0.8944551607533942
19989,1917999,gp,fileupload,GI,8,1937988,1.0722082509093493
20011,1521415,gp,fileupload,GI,9,1541426,0.8528069706139537
20139,1563377,gp,fileupload,GI,10,1583516,0.8760936190765729
20278,1779825,gp,fileupload,GI,11,1800103,0.99592220854137
20031,2372769,gp,fileupload,GI,12,2392800,1.3238368363353599
20138,1793437,gp,fileupload,GI,13,1813575,1.0033757064764712
20232,1903921,gp,fileupload,GI,14,1924153,1.0645539201542926
20374,1514636,gp,fileupload,GI,15,1535010,0.8492572643527001
20248,1781124,gp,fileupload,GI,16,1801372,0.9966242935235289
20451,1978580,gp,fileupload,GI,17,1999031,1.105980806910862
20396,3020047,gp,fileupload,GI,18,3040443,1.6821508033174484
20115,1909121,gp,fileupload,GI,19,1929236,1.0673661328921282
19941,1959509,gp,fileupload,GI,20,1979450,1.095147453060861
24410,1894073,gp,fileupload,GI+Ekstazi,1,1918483,1.0614169447020938
24705,2028092,gp,fileupload,GI+Ekstazi,2,2052797,1.1357273011194908
24479,2908937,gp,fileupload,GI+Ekstazi,3,2933416,1.6229372104210658
24690,1652082,gp,fileupload,GI+Ekstazi,4,1676772,0.9276882897591583
24512,2187983,gp,fileupload,GI+Ekstazi,5,2212495,1.2240815702138925
24808,1545412,gp,fileupload,GI+Ekstazi,6,1570220,0.8687374946299351
24512,1581895,gp,fileupload,GI+Ekstazi,7,1606407,0.888758258419833
24957,1726025,gp,fileupload,GI+Ekstazi,8,1750982,0.9687455998663328
24899,2845112,gp,fileupload,GI+Ekstazi,9,2870011,1.5878578579436988
25408,1766377,gp,fileupload,GI+Ekstazi,10,1791785,0.99132020469456394
